,OBJECTID1,File_tag,Provider,DateOnly,Date,Date_1,Time_2,Latitude_3,Longitude_3,Address_of_incident_4,ID_of__nearest__asset_5,ID_of_nearest__polyphase__line_,Voltage_of_line_in_which__fire_,Network_categorisation_8,Type_of_primary_asset__involved,Phase_s__of__line_or__transform,Kind_of_fire_start_as_per_Claus,Location__area_12,Location_multiplier,Fire__danger__rating_13,Danger_multiplier,Product_of_multipliers,DNSP_record_number_14,OSIRIS___ESV__reference__number,Fault__description_16,Overhead_conductors,BUFF_DIST,FOR_CODE,FOR_TYPE,FOR_CAT,COVER,HEIGHT,FOREST,Elevation,STATION_ID,CODE,NAME,WeatherStation,Monthly Avg Rainfall,Monthly Mean Max Temperature,Monthly Mean Solar Exposure,Is_Fire
789,790,United 19/48,United,10/12/2019,12/10/19 0:00,43809.0,0.288888889,-37.89783627,145.1233678,"5 BELLERIVE AVENUE, MOUNT WAVERLEY VIC 3149",2300779.0,NO7,22kV AC,Urban, - crossarm (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,Low-moderate,0.2,0.04,1359995.0,20200128UTD_01,"Broken xarm HV inter needs replacement 1 nth Bellvue. Const adv. LIS # 2300779  Hv x-arm broke, Swung into LV. ", - insulators,7.62,0,Non forest,Non forest,6,6,0,97.25159454,94870,YMMB,MOORABBIN AWS,,4.4,24.6,24.7,0
315,316,United 17/41,United,17/12/2017,12/17/17 0:00,43086.0,0.87380787,-38.18298406,145.0757396,14 KOORNALLA CRESCENT MOUNT ELIZA,3314469.0,MTN22,Low voltage AC (<1kV),Rural Short, - connection box,three phase,Started in or originated from a distribution system,LBRA only,0.2,Low-moderate,0.2,0.04,5387.0,20180109UTD_01,Although fire was out when crew arrived the first call comments state flames were visable from a 3 phase FMB - Lis 3314469,,7.62,0,Non forest,Non forest,6,6,0,24.95092773,94879,CRAN,CRANBOURNE,,119.2,25,22.4,1
1158,1159,Jamena 19/41,Jamena,31/12/2019,12/31/19 0:00,43830.0,0.215972222,-37.702852,144.958814,"13 SAGES ROAD, GLENROY VIC 3046",,CN4,22kV AC,Urban, - crossarm (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,,20200103JEM_06,Pole top / crossarm fire,,7.62,0,Non forest,Non forest,6,6,0,77.90518951,94867,TRNX,BMTC ANNEXE,,4.4,24.6,24.7,0
1685,1686,PowerCor 19/173,PowerCor,6/01/2020,1/6/20 0:00,43836.0,0.875,-34.403222,142.281135,129 Kulkyne Way Iraak 3494,30097098.0,RCT014,22kV AC,Rural Short, - pole (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,,20200110PWA_14,A Powercor fault crew attending a fault found that a pole fire at the incident location. There was no ground fire or third party damage.,,7.62,0,Non forest,Non forest,6,6,0,48.17900085,94693,YMIA,MILDURA,,129.4,26.9,21.8,0
1338,1339,Ausnet 16/50,Ausnet ,10/11/2016,11/10/16 13:17,42684.55347,42684.55347,-37.05919202,145.108568,,578208.0,SMR1,22kV AC,RURAL SHORT, - fuse (EDO fuse),three phase,Otherwise started by a distribution system,within electric line construction area,19.8,Low-moderate,0.2,3.96,225159.0,20161110SPN_01,Crew found hung up EDO fuse that had possibly candled & cause a spark to hit the ground. Customer extinguished the fire of approx. size 86m2. ,,7.62,0,Non forest,Non forest,6,6,0,159.8141937,94874,YMNG,MANGALORE AWS,,36.4,20.8,19.5,0
1109,1110,PowerCor 19/264,PowerCor,13/03/2020,3/13/20 0:00,43903.0,0.849305556,-37.551781,143.86858,501 Sherrard St cnr Napier St Black Hill 3350,32012126.0,BAN007,22kV AC,Rural Short, - crossarm (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,Very high,1.0,0.2,,20200316PWA_03 ,"A crossarm  fire resulted in the high voltage conductor falling with the insulator coming to rest on the low voltage x arm. There was reported to be a HVI. There was no ground fire, no reported injuries.",,7.62,0,Non forest,Non forest,6,6,0,460.5778503,94852,YBLT,BALLARAT,,78.2,22.9,14.4,1
1536,1537,Ausnet 17/126,Ausnet,9/03/2018,3/9/18 22:45,43168.94792,43168.94792,-36.30035899,147.230996,"1077 OMEO HIGHWAY, TALLANGATTA SOUTH VIC 3701",5211317.0,WOTS24,22kV AC,RURAL LONG, - fuse (EDO fuse),single phase,Otherwise started by a distribution system,within area delineated on plan LEGL./16-354,4.6,HIGH,0.5,2.3,232791.0,20180416SPN_03,Arcing and burnt EDO fuse tube.,,7.62,0,Non forest,Non forest,6,6,0,213.642395,94878,HUHI,HUNTERS HILL AWS,,24.6,24.9,16.6,0
1145,1146,Jamena 19/63,Jamena,3/06/2020,6/3/20 0:00,43985.0,0.267361111,-37.715582,144.861841,"5 BEVERAGE DRIVE, TULLAMARINE VIC 3043",,AW3,22kV AC,Urban, - overhead conductor (bare; all aluminium conductor),three phase,"Started by any tree, or part of a tree, falling upon or coming into contact with a distribution system",LBRA only,0.2,No forecast,0.1,0.02,,20200603JEM_01,MFB report council tree on wires sparking.,,7.62,0,Non forest,Non forest,6,6,0,67.36582184,94866,YMML,MELBOURNE AP,,30.8,14.9,7.6,0
741,742,Jamena 19/59,Jamena,13/03/2020,3/13/20 0:00,43903.0,0.899305556,-37.786848,144.879318,"68 BALLARAT ROAD, MAIDSTONE VIC 3012",,BY12,22kV AC,Urban, - crossarm (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,Very High,1.0,0.2,,20200403JEM_03,Pole top / crossarm fire,,7.62,0,Non forest,Non forest,6,6,0,34.27507782,94868,MELB,MELBOURNE,,78.2,22.9,14.4,0
1683,1684,PowerCor 19/167,PowerCor,5/01/2020,1/5/20 0:00,43835.0,0.871527778,-34.720099,143.17306,"8655 Murray Valley Highway, Boundary Bend, Vic. 3599",32148923.0,BBD021,22kV AC,Rural Short, - crossarm (wood),three phase,Started in or originated from a distribution system,HBRA only,1.0,High,0.5,0.5,,20200110PWA_08 ,"Vic fire reported pole fire.  Crew arrived to find one end of pole was burning.  Crew isolated and CFA extinguished fire. No ground fire, no reported injuries or third party property damage.",,7.62,0,Non forest,Non forest,6,6,0,55.69270706,94843,YSWH,SWAN HILL AWS,,129.4,26.9,21.8,0
617,618,United 16/22,United,27/07/2016,7/27/16 0:00,42578.0,0.332511574,-38.01750266,145.2149789,,9360948.0,DSH31,22kV AC,Urban, - fuse (boric acid),three phase,Started in or originated from a distribution system,LBRA only,0.2,No forecast,0.1,0.02,4988.0,20160728UTD_02,"UE B/A fuse was on fire/out by the time crew arrived, no other damage sustained, fuse fire only. LIS 9360948, Fire Report Ref 01870",,7.62,0,Non forest,Non forest,6,6,0,14.51467419,94870,YMMB,MOORABBIN AWS,,68.6,14.6,7.2,0
25,26,PowerCor 19/41,PowerCor,13/09/2019,9/13/19 0:00,43721.0,0.925,-38.548916,143.979699,"22 Francis Street, Lorne",30261511.0,CLC005,Low voltage AC (<1kV),Rural Short, - connection box,three phase,Started in or originated from a distribution system,within area delineated on plan LEGL./16-354,4.6,No forecast,0.1,0.46,,20190920PWA_01 ,"Vicfire reported a pole fire at the incident location, on arrival the crew found a single phase FOLCB on the pole in front of the incident location address had overheated and caught fire. There was damage to wiring both up and down the pole, however there",,7.62,0,Non forest,Non forest,6,6,0,102.6755829,94846,AIRE,AIREYS INLET AWS,,51.4,17.8,14.5,0
807,808,Jamena 19/25,Jamena,21/11/2019,11/21/19 0:00,43790.0,0.398611111,-37.734103,144.982549,"F.COX RESERVE, BETWEEN ELIZABETH ST AND PETERSON AVE, COBURG NORTH VIC 3058 (nearest address is 29 PETERSON AVE, COBURG NORTH VIC 3058)",,CN8,22kV AC,Urban, - overhead conductor (bare; all aluminium conductor),three phase,"Started by any tree, or part of a tree, falling upon or coming into contact with a distribution system",LBRA only,0.2,Very High,1.0,0.2,,20191122JEM_01,Large Tree brought down HV conductor in high winds igniting a small grass fire,,7.62,0,Non forest,Non forest,6,6,0,51.08898163,95873,BUND,BUNDOORA,,60.8,21.8,20.4,0
1624,1625,Powercor 16/193,Powercor,20/04/2017,4/20/17 0:00,42845.0,0.772222222,-35.599643,143.93468,,32030269.0,KGT003,22kV AC,Rural Long, - crossarm (wood),three phase,Started in or originated from a distribution system,HBRA only,1.0,Low-moderate,0.2,0.2,13046.0,20170427PWA_03,"CFA reported Pole Fire APPROX 600-700 metres SOUTH of intersection of Kerang - Murrabit Road and Guilmartin Road Capels Crossing.   Crew attended and assessed the partially burnt HV intermediate crossarm where the insulator pin had fallen through, crew as",,7.62,0,Non forest,Non forest,6,6,0,73.99828339,94844,YKER,KERANG,,142.7,20.8,10.8,0
646,647,Ausnet 17/19,Ausnet,1/07/2017,7/1/17 15:37,42917.65069,42917.65069,-37.98470198,145.463754,"80 BLUE RIDGE ROAD, DEWHURST VIC 3808",521902.0,BWN14,Low voltage AC (<1kV),RURAL SHORT, - connection box,three phase,Otherwise started by a distribution system,HBRA only,1.0,NO FORECAST,0.1,0.1,228875.0,20170824SPN_02,suspected loose connection within the FOLCB,,7.62,0,Non forest,Non forest,6,6,0,217.0037231,94872,DUNN,DUNNS HILL AWS,,35.6,14.5,7.9,1
1241,1242,Ausnet 17/45,Ausnet,21/11/2017,11/21/17 7:20,43060.30556,43060.30556,-37.60640698,145.412474,"35 LORIMERS LANE, DIXONS CREEK VIC 3775",1007063.0,LDL14,Low voltage AC (<1kV),RURAL SHORT, - underground service cable (residential),two phase,Otherwise started by a distribution system,within area delineated on plan LEGL./16-354,4.6,LOW-MODERATE,0.2,0.92,231317.0,20171123SPN_03,Underground service cable fault.,,7.62,0,Non forest,Non forest,6,6,0,109.4568634,94864,YCEM,COLDSTREAM AWS,,46.2,25.9,22.8,0
819,820,CitiPower 19/23,CitiPower,18/10/2019,10/18/19 0:00,43756.0,0.65625,-37.761141,144.996719,"Cnr Spencer Street & Woolton Avenue, Thornbury",30184890.0,NC013,11kV AC,Urban, - overhead conductor (covered uninsulated),three phase,Started in or originated from a distribution system,LBRA only,0.2,Low-moderate,0.2,0.04,,20191106PWA_01,"Resident reported a flash of electricity that was seen & heard shooting down to footpath on the pole located on the Cnr Spencer Street & Woolton Avenue, Thornbury . Attending crew found connection had parted from gas switch.",,7.62,0,Non forest,Non forest,6,6,0,51.78774261,94868,MELB,MELBOURNE,,27.7,21.3,18.8,1
853,854,United 18/60,United,29/12/2018,12/29/18 0:00,43463.0,0.676388889,-37.7667678,145.136208,"16 BAMFIELD CLOSE, TEMPLESTOWE VIC 3106",7060057.0,BU 09,Low voltage AC (<1kV),Urban, - underground cable,three phase,Started in or originated from a distribution system,LBRA only,0.2,Low-moderate,0.2,0.04,1250886.0,20181231UTD_01,UG  pillar has melted upillar had caught fire due to failed connection inside wall next to pillar was blackened. no burn marks on ground. fire report# 3010. Lis 7060057 - street light pole next to Pillar,,7.62,0,Non forest,Non forest,6,6,0,65.98451996,95873,BUND,BUNDOORA,,117.3,25.7,22.1,0
946,947,Ausnet 19/175,Ausnet,21/06/2020,6/21/20 0:35,44003.02431,44003.02431,-37.75498898,145.272619,"295-297 YARRA ROAD, WONGA PARK VIC 3115",1203571.0,CPK11,22kV AC,RURAL SHORT, - fuse (boric acid),three phase,Otherwise started by a distribution system,within area delineated on plan LEGL./16-354,4.6,NO FORECAST,0.1,0.46,,20200622SPN_05,Fuses had to be cut away due to fuse failing to eject and replaced all faulty components with new ones.,,7.62,0,Non forest,Non forest,6,6,0,159.5406799,94864,YCEM,COLDSTREAM AWS,,30.8,14.9,7.6,1
731,732,Jamena 19/34,Jamena,31/12/2019,12/31/19 0:00,43830.0,0.463194444,-37.740833,144.905654,"32 KERFERD STREET, ESSENDON NORTH VIC 3041",,ES26,11kV AC,Urban, - crossarm (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,191441.0,20200103JEM_14,Pole top / crossarm fire,,7.62,0,Non forest,Non forest,6,6,0,58.55699921,94867,TRNX,BMTC ANNEXE,,4.4,24.6,24.7,0
105,106,PowerCor 19/265,PowerCor,14/03/2020,3/14/20 0:00,43904.0,0.554166667,-38.3169,142.74683,"8559 Princes Hwy, Panmure 3265",32058973.0,TRG004,Low voltage AC (<1kV),Rural Short, - fuse (any other type),single phase,Started in or originated from a distribution system,within area delineated on plan LEGL./16-354,4.6,High,0.5,2.3,,20200316PWA_04 ,"A customer called to advise that what he described as a ""capacitor"" had caught fire on his meter board. On arrival the crew found that one of the meter board fuses had overheated causing minor damage to the wooden meter board. There was no ground fire, no",,7.62,0,Non forest,Non forest,6,6,0,103.1987,94837,YWBL,WARRNAMBOOL AWS,,78.2,22.9,14.4,0
1097,1098,PowerCor 19/72,PowerCor,21/11/2019,11/21/19 0:00,43790.0,0.497916667,-37.692286,143.008737,"525 Glenelg Hwy, Streatham, 3351",30083878.0,ART033,22kV AC,Rural Long, - overhead conductor (bare; aluminium core steel reinforced),three phase,Started in or originated from a distribution system,within area delineated on plan LEGL./16-354,4.6,Very high,1.0,4.6,,20191122PWA_02 ,"Vic fire reported wires down causing grass fire. On arrival crew found a broken strand of HV conductor had been intermittently brushing across  phases. The sparks from this started a grass fire, observed and extinguished by CFA personnel. There was a smal",,7.62,0,Non forest,Non forest,6,6,0,233.8246002,94840,MORT,MORTLAKE AWS,,60.8,21.8,20.4,1
1379,1380,PowerCor 19/142,PowerCor,31/12/2019,12/31/19 0:00,43830.0,0.097222222,-36.704317,142.215309,"3 Pryors Rd, Horsham VIC 3400",30078377.0,HSM009,22kV AC,Urban, - crossarm (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,,20200103PWA_05,"Report received of a pole fire at the incident location. Crew advise cross-arm burnt on LIS 433, Pryors Lane P1. LEI confirmed no high voltage injection. There was no ground fire, no reported injuries or third party property damage.",,7.62,0,Non forest,Non forest,6,6,0,127.7905273,95839,YHSM,HORSHAM AWS,,4.4,24.6,24.7,0
387,388,Ausnet 16/119,Ausnet ,24/05/2017,5/24/17 5:53,42879.24514,42879.24514,-38.128072,145.754437,,2716082.0,WGL12,22kV AC,RURAL LONG, - fuse (EDO fuse),single phase,Otherwise started by a distribution system,HBRA only,1.0,No forecast,0.1,0.1,228037.0,20170531SPN_02,Candled/burnt EDO fuse tube. EDO fuse failed to operate correctly.,,7.62,0,Non forest,Non forest,6,6,0,35.89867401,95854,ELLI,ELLINBANK,,29.6,17.2,8.3,1
1341,1342,Ausnet 19/62,Ausnet,21/11/2019,11/21/19 18:38,43790.77639,43790.77639,-37.05705602,145.860278,"MAINTONGOON ROAD, BONNIE DOON VIC 3720",3912765.0,MSD2,22kV AC,RURAL LONG, - overhead conductor (bare; aluminium core steel reinforced),three phase,"Started by any tree, or part of a tree, falling upon or coming into contact with a distribution system",within area delineated on plan LEGL./16-354,4.6,VERY HIGH,1.0,4.6,,20191122SPN_05,Tree on private property fell due to high winds. At the time of assessment Vegetation is outside the Minimum Clearance Space from any Bare Wire or HV/ABC conductor/s or Uninsulated Apparatus.,,7.62,0,Non forest,Non forest,6,6,0,303.7557068,94881,EILD,HAINES SADDLE,,60.8,21.8,20.4,0
96,97,PowerCor 19/124,PowerCor,30/12/2019,12/30/19 0:00,43829.0,0.458333333,-38.385855,142.607767,"14 Grauers Rd, Allansford VIC 3277.",32198150.0,WBL002,22kV AC,Rural Short, - overhead conductor (bare; aluminium core steel reinforced),three phase,"Started by any tree, or part of a tree, falling upon or coming into contact with a distribution system",LBRA only,0.2,Extreme,3.5,0.7,,20191231PWA_01 ,Vicfire reported  branch landed on conductors causing sparking and grass fire. On arrival crew reported small grass fire under line (1m*1m)  started by customer's tree branch contacting 22kV overhead conductors outside the incident address. Fire is out an,,7.62,0,Non forest,Non forest,6,6,0,14.68472958,94837,YWBL,WARRNAMBOOL AWS,,4.4,24.6,24.7,0
1244,1245,Ausnet 19/150,Ausnet,28/03/2020,3/28/20 23:56,43918.99722,43918.99722,-37.66160898,145.529214,"178 MT RIDDELL ROAD, HEALESVILLE VIC 3777",1409956.0,WYK24,22kV AC,RURAL SHORT, - fuse (boric acid),three phase,Otherwise started by a distribution system,within area delineated on plan LEGL./16-354,4.6,HIGH,0.5,2.3,,20200316SPN_01,Plausible cause is degradation due to age.,,7.62,0,Non forest,Non forest,6,6,0,114.9706421,94864,YCEM,COLDSTREAM AWS,,78.2,22.9,14.4,1
812,813,Jamena 19/50,Jamena,7/01/2020,1/7/20 18:50,43837.78472,43837.78472,-37.732344,144.945651,"281 GAFFNEY STREET, PASCOE VALE VIC 3044",,CS12,22kV AC,Urban, - crossarm (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,High,0.5,0.1,,20200107JEM_04,Pole top / crossarm fire,,7.62,0,Non forest,Non forest,6,6,0,64.93319702,94867,TRNX,BMTC ANNEXE,,129.4,26.9,21.8,0
890,891,Jamena 17/20,Jamena,25/07/2017,7/25/17 0:00,42941.0,0.470138889,-37.768721,145.041129,"4 LIVINGSTONE STREET, IVANHOE",,FF90,Low voltage AC (<1kV),Urban, - underground cable,three phase,Started in or originated from a distribution system,LBRA only,0.2,No forecast,0.1,0.02,151805.0,20170727JEM_01,LV UG cable was smouldering due to fault current,,7.62,0,Non forest,Non forest,6,6,0,52.00553513,95873,BUND,BUNDOORA,,35.6,14.5,7.9,0
289,290,PowerCor 19/311,PowerCor,12/06/2020,6/12/20 0:00,43994.0,0.269444444,-38.277435,144.489848,"11 Jasper Ave, Barwon Heads 3227",30072968.0,GLE013,Low voltage AC (<1kV),Rural Short, - switch (disconnector/isolator),three phase,Started in or originated from a distribution system,LBRA only,0.2,No forecast,0.1,0.02,,20200612PWA_02 ,Vicfire called to report a pole fire at the incident location. On arrival the crew found that the red phase connection of an FSD Krone box on the substation pole had overheated and burnt out. There was no ground fire or any reported injuries or other dama,,7.62,0,Non forest,Non forest,6,6,0,2.401895046,94857,GROV,GEELONG AP AWS,,30.8,14.9,7.6,0
176,177,United 18/96,United,4/03/2019,3/4/19 0:00,43528.0,0.137719907,-38.30837567,145.0323299,"OLD MOOROODUC ROAD, DROMANA VIC 3936",1104930.0,DMA24,66kV AC,Rural Short, - overhead conductor (bare; all aluminium conductor),three phase,"Started by any tree, or part of a tree, falling upon or coming into contact with a distribution system",HBRA only,1.0,High,0.5,0.5,1271429.0,20190306UTD_03,REF TO# 1271428 -report of fire start by cfa see event 1271429. Patrol found bark on DMA 24 centre ph at lis 1104930. Old Moorooduc rd  After emergency switching bark removed and appears to have significant burn marks.  MTN-DMA 66kv line in on same pole. ,,7.62,0,Non forest,Non forest,6,6,0,32.9227562,94898,CERB,CERBERUS AWS,,14.6,24.8,15.9,0
162,163,United 17/131,United,30/06/2018,6/30/18 0:00,43281.0,0.837106481,-38.38379534,144.7929433,10 CLEMATIS COURT RYE,1318371.0,STO21,Low voltage AC (<1kV),Rural Short, - connection box,three phase,Started in or originated from a distribution system,LBRA only,0.2,No forecast,0.1,0.02,5582.0,20180710UTD_02,Repaired connections at FOLCB at pole end to house 24. repaired connection to service at num 22. Fire report at pole end. # 6762. LIS 1318371,,7.62,0,Non forest,Non forest,6,6,0,3.692331791,94898,CERB,CERBERUS AWS,,47.2,14.3,7.2,0
534,535,United 17/113,United,14/04/2018,4/14/18 0:00,43204.0,0.547060185,-37.97207246,145.0625481,1300 NEPEAN HIGHWAY CHELTENHAM,1822160.0,M  23,11kV AC,Urban, - pole (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,Very high,1.0,0.2,5517.0,20180430UTD_03,CH8926 discs damaged and pole top burning. - resagged and repaired 3 x HV conductors and replaced 2x poly HV insulators lis # 1822160- follow up is required new pole and gas switch - Fire report 2012  by,,7.62,0,Non forest,Non forest,6,6,0,25.8112793,94870,YMMB,MOORABBIN AWS,,19,21.8,10.9,0
1473,1474,PowerCor 19/183,PowerCor,10/01/2020,1/10/20 0:00,43840.0,0.890277778,-36.29528,144.56288,"48 Vise Rd, Bamawm VIC 3561",30121008.0,SHP012,22kV AC,Rural Long, - crossarm (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,Severe,2.0,0.4,,20200113PWA_09 ,CFA reported pole fire at the incident location.  Upon arrival crew found that an intermediate x-arm on a substation pole ( Hann 8 ) burnt through at the kingbolt position. Conductors remained aloft held up via x-arm straps. No ground fire or 3rd party da,,7.62,0,Non forest,Non forest,6,6,0,109.3407974,94861,YECH,ECHUCA,,129.4,26.9,21.8,0
839,840,CitiPower 19/43,CitiPower,4/07/2019,7/4/19 0:00,43650.0,0.841666667,-37.831243,145.093409,"16 ARUNDEL CRESCENT,SURREY HILLS,VIC,3127",30175594.0,RD005,Low voltage AC (<1kV),Urban, - overhead service conductor (residential),single phase,Started in or originated from a distribution system,LBRA only,0.2,No forecast,0.1,0.02,,20200908PWA_03,Service wire has broken away from the house and caught fire. Attending crew replaced service cable.,,7.62,0,Non forest,Non forest,6,6,0,88.88185883,94868,MELB,MELBOURNE,,52.8,15,7.7,1
1589,1590,PowerCor 19/309,PowerCor,5/06/2020,6/5/20 0:00,43987.0,0.478472222,-36.048643,144.114501,"86 Kelly St, Pyramid Hill VIC 3575",30024621.0,CHA006,Low voltage AC (<1kV),Rural Long, - switch (disconnector/isolator),three phase,Started in or originated from a distribution system,LBRA only,0.2,No forecast,0.1,0.02,,20200714PWA_03,FSD fire - no ground fire. Found during OMS data review.,,7.62,0,Non forest,Non forest,6,6,0,87.68657684,94844,YKER,KERANG,,30.8,14.9,7.6,0
1214,1215,Jamena 16/25,Jamena,28/12/2016,12/28/16 0:00,42732.0,0.839583333,-37.690959,144.975401,,,CN6,22kV AC,Urban, - overhead conductor (bare; aluminium core steel reinforced),three phase,Started by any other thing forming part of or coming into contact with a distribution system,LBRA only,0.2,Very high,1.0,0.2,143506.0,20161229JEM_02,HV conductor fell down on the ground due to animal strike and started a grass fire.,,7.62,0,Non forest,Non forest,6,6,0,90.99997711,94867,TRNX,BMTC ANNEXE,,47.7,25.5,24,0
908,909,CitiPower 16/21,CitiPower,15/11/2016,11/15/16 0:00,42689.0,0.416666667,-37.760703,144.99776,,30186544.0,NC014,11kV AC,Urban, - switch (disconnector/isolator),three phase,Started in or originated from a distribution system,LBRA only,0.2,Low-moderate,0.2,0.04,12577.0,20161125PWA_02,"A passer-by called to advise pole on the corner of Stott & Woolton Avenue is sparking and making an arcing noise the MFB are in attendance at the incident location.
On arrival the fault crew found that the a GFB switch was candling of the arc chute on roa",,7.62,0,Non forest,Non forest,6,6,0,52.00017548,94868,MELB,MELBOURNE,,36.4,20.8,19.5,0
740,741,Jamena 19/58,Jamena,13/03/2020,3/13/20 0:00,43903.0,0.808333333,-37.756673,144.861139,"8 ORLEANS ROAD, AVONDALE HEIGHTS VIC 3034",,BY14,22kV AC,Urban, - crossarm (wood),three phase,Started in or originated from a distribution system,LBRA only,0.2,Very high,1.0,0.2,, 20200403JEM_02,Pole top / crossarm fire,,7.62,0,Non forest,Non forest,6,6,0,48.50457764,94866,YMML,MELBOURNE AP,,78.2,22.9,14.4,0
1060,1061,Ausnet 19/136,Ausnet,23/02/2020,2/23/20 17:33,43884.73125,43884.73125,-37.81553201,147.436645,"730 LINDENOW-GLENALADALE ROAD, LINDENOW SOUTH VIC 3875",1607114.0,BDL44,22kV AC,RURAL LONG, - fuse (boric acid),three phase,Otherwise started by a distribution system,within area delineated on plan LEGL./16-354,4.6,HIGH,0.5,2.3,,20200227SPN_02,Plausible cuase is combination of age and condition.,,7.62,0,Non forest,Non forest,6,6,0,59.80334854,94912,YBNS,BAIRNSDALE AIRPORT,,75.8,24.4,17.9,0
444,445,Powercor 16/140,Powercor,16/02/2017,2/16/17 0:00,42782.0,0.074305556,-37.932188,142.4948,,30042625.0,TRG002,22kV AC,Rural Long, - crossarm (wood),three phase,Started in or originated from a distribution system,within area delineated on plan LEGL./16-354,4.6,High,0.5,2.3,12973.0,20170405PWA_02,Pole fire reported at Pole 261 Penshurst spur Line. Crossarm burnt through at insulator.,,7.62,0,Non forest,Non forest,6,6,0,170.0939941,94840,MORT,MORTLAKE AWS,,47,25.9,20.5,0
760,761,Jamena 17/32,Jamena,1/03/2018,3/1/18 0:00,43160.0,0.33125,-37.767153,144.855093,"26 BROWN STREET, AVONDALE HEIGHTS VIC 3034",,BY11,22kV AC,Urban, - crossarm (wood),three phase,Started by any other thing forming part of or coming into contact with a distribution system,LBRA only,0.2,Low-moderate,0.2,0.04,161167.0,20180314JEM_04,Pole top fire,,7.62,0,Non forest,Non forest,6,6,0,41.46513367,94868,MELB,MELBOURNE,,24.6,24.9,16.6,0
419,420,Ausnet 17/139,Ausnet,19/03/2018,3/19/18 12:21,43178.51458,43178.51458,-38.20993036,146.3250955,Hernes Oak Vic 3825,7700545.0,MWTS-YPS1,66kV AC,UNCLASSIFIED, - overhead conductor (bare; all aluminium conductor),three phase,"Started by any tree, or part of a tree, falling upon or coming into contact with a distribution system",HBRA only,1.0,HIGH,0.5,0.5,232898.0,20180319SPN_08,HV conductor on ground.,,7.62,93,Mixed species plantation,Commercial plantation,4,4,1,99.23059082,94891,YLTV,LATROBE VALLEY,,24.6,24.9,16.6,0
374,375,Ausnet 17/101,Ausnet,14/02/2018,2/14/18 9:38,43145.40139,43145.40139,-38.22119371,145.5921678,"185 OBRIENS ROAD, BAYLES VIC 3981",513344.0,LLG11,22kV AC,RURAL SHORT, - overhead conductor (bare; all aluminium conductor),three phase,"Started by any tree, or part of a tree, falling upon or coming into contact with a distribution system",within area delineated on plan LEGL./16-354,4.6,VERY HIGH,1.0,4.6,232492.0,20180307SPN_01,Large tree branch fell into overhead HV conductor.,,7.62,0,Non forest,Non forest,6,6,0,13.9859581,95854,ELLI,ELLINBANK,,1.2,27,20.8,0
1028,1029,Ausnet 19/63,Ausnet,21/11/2019,11/21/19 20:23,43790.84931,43790.84931,-37.88459719,145.4199996,Gerber Rd Monbulk VIC 3793,1320862.0,BGE11,Low voltage AC (<1kV),RURAL SHORT, - overhead service conductor (residential),single phase,"Started by any tree, or part of a tree, falling upon or coming into contact with a distribution system",within area delineated on plan LEGL./16-354,4.6,VERY HIGH,1.0,4.6,,20191122SPN_02,"Ground fire started by lightning, not caused by network asset.",,7.62,0,Non forest,Non forest,6,6,0,224.4388733,94872,DUNN,DUNNS HILL AWS,,60.8,21.8,20.4,0
1622,1623,Powercor 16/172,Powercor,30/03/2017,3/30/17 0:00,42824.0,0.776388889,-35.597545,143.54224,,32155539.0,SHL005,12.7kV AC (SWER),Rural Long, - crossarm (wood),single wire earth return (SWER),Started in or originated from a distribution system,HBRA only,1.0,High,0.5,0.5,12960.0,20170331PWA_01,"Customer reported a grass fire caused by Powercor assets ( pole fallen over ) at the incident location. On arrival the crew found that a pole had failed and the SWER conductor made contact with the ground in an adjacent span, a ground fire ignited resulti",,7.62,0,Non forest,Non forest,6,6,0,80.08735657,94843,YSWH,SWAN HILL AWS,,29.2,26.9,16.8,0
1250,1251,Ausnet 19/77,Ausnet,19/12/2019,12/19/19 14:30,43818.60417,43818.60417,-37.6947795,145.803238,"1 OLD WARBURTON ROAD, WARBURTON VIC 3799",1408905.0,WYK13,22kV AC,RURAL SHORT, - overhead conductor (bare; steel),single phase,"Started by any tree, or part of a tree, falling upon or coming into contact with a distribution system",within area delineated on plan LEGL./16-354,4.6,HIGH,0.5,2.3,,20191220SPN_01,Domino effect resulting in tree contacting conductors. The first tree to fail was a dead stag approx. 25 mts from line. The tree has fallen on a 15-20 degree angle towards the line. The tree has fallen into a mature wattle which has failed in the ground d,,7.62,44,Eucalypt Medium Open,Native forest,2,2,1,261.572876,94880,NJE,NOOJEE,,4.4,24.6,24.7,0
