,Latitude_3,Longitude_3,Voltage_of_line_in_which__fire_,Location_multiplier,Danger_multiplier,Product_of_multipliers,COVER,HEIGHT,FOREST,Elevation,Monthly Avg Rainfall,Monthly Mean Max Temperature,Monthly Mean Solar Exposure,Is_Fire,day,month,year
214,-38.45758601,145.474965,22kV AC,4.6,0.2,0.92,6,6,0,10.0,145.6,19.3,9.8,1,27,04,2020
215,-38.41218902,145.808235,22kV AC,1.0,0.5,0.5,6,6,0,276.9694519,129.4,26.9,21.8,1,2,01,2020
216,-38.36581599,145.670409,22kV AC,4.6,0.5,2.3,6,6,0,72.71247101,75.8,24.4,17.9,1,1,02,2020
217,-38.37626199,145.705594,22kV AC,4.6,0.2,0.92,6,6,0,178.5405731,75.8,24.4,17.9,1,12,02,2020
218,-38.32371102,145.671473,22kV AC,4.6,0.1,0.46,6,6,0,120.9075241,82.8,16.4,8.3,1,29,05,2020
219,-38.46033702,145.81729,22kV AC,1.0,0.1,0.1,6,6,0,251.6174164,30.8,14.9,7.6,1,5,06,2020
220,-38.45265604,145.7394604,22kV AC,1.0,0.5,0.5,6,6,0,178.2950897,12.6,28.4,25.6,1,16,01,2019
221,-38.445898,145.754206,22kV AC,1.0,0.5,0.5,6,6,0,194.2194519,20.3,26,21.4,1,5,02,2019
222,-38.45618299,145.70063,Low voltage AC (<1kV),1.0,0.1,0.1,6,6,0,198.010849,57.5,15.5,7.2,1,25,06,2019
223,-38.43328199,145.792271,22kV AC,1.0,1.0,1.0,6,6,0,156.7475891,1.2,27,20.8,1,28,02,2018
224,-38.461774,145.643854,22kV AC,1.0,2.0,2.0,6,6,0,233.4846649,24.6,24.9,16.6,1,17,03,2018
225,-38.45334499,145.993974,22kV AC,1.0,0.5,0.5,6,6,0,75.53878021,129.4,26.9,21.8,1,1,01,2020
226,-38.29370598,145.836971,22kV AC,1.0,0.2,0.2,6,6,0,128.7818451,145.6,19.3,9.8,1,28,04,2020
227,-38.31452099,145.908804,22kV AC,1.0,0.2,0.2,6,6,0,216.9075317,117.3,25.7,22.1,1,17,12,2018
228,-38.43363499,146.037148,22kV AC,1.0,0.2,0.2,6,6,0,72.78773499,46.2,25.9,22.8,1,26,11,2017
229,-38.28181198,146.198839,22kV AC,4.6,0.1,0.46,6,6,0,250.6929321,49.4,15.1,10.1,1,15,08,2018
230,-38.29695647,146.1345056,22kV AC,4.6,0.5,2.3,6,6,0,372.4061279,20.3,26,21.4,1,17,02,2019
231,-38.28701899,146.190735,22kV AC,4.6,0.1,0.46,6,6,0,251.8535004,0,14.8,10.1,1,2,08,2017
232,-38.46063898,146.24706,22kV AC,1.0,0.2,0.2,6,6,0,202.5939941,33.2,26.5,23.4,1,10,01,2017
233,-38.398482,146.15867,22kV AC,0.2,0.2,0.04,6,6,0,227.6456451,142.7,20.8,10.8,1,2,04,2017
234,-38.38405102,146.114968,22kV AC,1.0,0.1,0.1,6,6,0,202.1894226,21.4,14.9,7.2,1,28,06,2017
235,-38.39620601,146.360414,22kV AC,1.0,0.2,0.2,6,6,0,233.087738,75.8,24.4,17.9,1,10,02,2020
236,-38.408794,146.302823,22kV AC,1.0,0.2,0.2,6,6,0,140.0015564,145.6,19.3,9.8,1,2,04,2020
237,-38.35185402,146.382427,22kV AC,1.0,0.2,0.2,2,2,1,162.970459,20.3,26,21.4,1,6,02,2019
238,-38.35212002,146.437611,22kV AC,1.0,1.0,1.0,2,2,1,454.7514648,14.6,24.8,15.9,1,2,03,2019
239,-38.32415399,146.460266,22kV AC,1.0,1.0,1.0,6,6,0,232.112793,1.2,27,20.8,1,14,02,2018
240,-38.330476,146.580062,22kV AC,1.0,0.1,0.1,6,6,0,341.8684387,30.8,14.9,7.6,1,13,06,2020
241,-38.30758101,146.541212,22kV AC,1.0,0.5,0.5,6,6,0,95.80607605,14.6,24.8,15.9,1,9,03,2019
242,-38.294636,146.597665,22kV AC,1.0,0.5,0.5,1,2,1,243.2569427,46.2,25.9,22.8,1,29,11,2017
243,-38.37994401,146.531906,22kV AC,1.0,0.5,0.5,2,2,1,165.4221802,24.6,24.9,16.6,1,21,03,2018
244,-38.42743385,146.8235875,12.7kV AC (SWER),1.0,0.1,0.1,6,6,0,92.45231628,30.8,14.9,7.6,1,24,06,2020
245,-38.41418296,147.1091987,12.7kV AC (SWER),4.6,0.2,0.92,6,6,0,12.61167049,24.6,24.9,16.6,1,24,03,2018
246,-38.136232,141.618848,22kV AC,1.0,0.5,0.5,6,6,0,29.68460083,75.8,24.4,17.9,1,26,02,2020
247,-38.136635,141.6767,12.7kV AC (SWER),1.0,1.0,1.0,6,6,0,32.11146927,78.2,22.9,14.4,1,1,03,2020
248,-38.123617,141.637191,22kV AC,1.0,0.5,0.5,6,6,0,28.45306969,145.6,19.3,9.8,1,3,04,2020
249,-38.277724,141.641718,Low voltage AC (<1kV),1.0,0.1,0.1,6,6,0,6.086841106,30.8,14.9,7.6,1,25,06,2020
250,-38.269089,141.67384,22kV AC,1.0,1.0,1.0,6,6,0,2.984297037,33.2,26.5,23.4,1,29,01,2017
251,-38.21431,141.71377,22kV AC,1.0,0.5,0.5,6,6,0,159.5962067,29.2,26.9,16.8,1,3,03,2017
252,-38.256798,142.44117,22kV AC,4.6,0.2,0.92,6,6,0,77.71737671,29.2,26.9,16.8,1,5,03,2017
253,-38.143941,142.985337,22kV AC,4.6,0.5,2.3,6,6,0,140.4739075,4.4,24.6,24.7,1,22,12,2019
254,-38.240499,142.91585,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,136.3312988,69.4,15.9,10.1,1,8,08,2016
255,-38.272516,143.151567,22kV AC,4.6,0.2,0.92,6,6,0,192.5143585,4.4,24.6,24.7,1,3,12,2019
256,-38.186745,143.186213,Low voltage AC (<1kV),4.6,0.5,2.3,6,6,0,147.8046875,4.4,24.6,24.7,1,25,12,2019
257,-38.152608,143.237087,22kV AC,4.6,0.2,0.92,6,6,0,169.5518188,75.8,24.4,17.9,1,11,02,2020
259,-38.21420267,143.5453496,22kV AC,4.6,0.1,0.46,6,6,0,143.3545532,57.5,15.5,7.2,1,7,06,2019
260,-38.255678,143.63156,22kV AC,4.6,0.2,0.92,6,6,0,123.3673096,36.4,20.8,19.5,1,25,11,2016
261,-38.263653,143.55611,Low voltage AC (<1kV),4.6,0.2,0.92,6,6,0,124.2898636,33.2,26.5,23.4,1,15,01,2017
262,-38.095742,143.68786,22kV AC,4.6,0.5,2.3,6,6,0,115.9964066,142.7,20.8,10.8,1,8,04,2017
263,-38.254967,143.61215,22kV AC,4.6,0.1,0.46,6,6,0,121.5509415,29.6,17.2,8.3,1,3,05,2017
264,-38.171272,144.14168,22kV AC,4.6,0.5,2.3,6,6,0,178.5497589,129.4,26.9,21.8,1,29,01,2020
265,-38.152787,144.163531,22kV AC,4.6,1.0,4.6,6,6,0,93.92412567,75.8,24.4,17.9,1,9,02,2020
266,-38.260408,144.200121,22kV AC,4.6,0.2,0.92,6,6,0,68.87398529,145.6,19.3,9.8,1,20,04,2020
268,-38.181751,144.437895,Low voltage AC (<1kV),1.0,2.0,2.0,6,6,0,10.25230122,4.4,24.6,24.7,1,20,12,2019
269,-38.155113,144.311147,Low voltage AC (<1kV),0.2,2.0,0.4,6,6,0,83.22133636,4.4,24.6,24.7,1,20,12,2019
270,-38.195132,144.356697,22kV AC,0.2,0.1,0.02,6,6,0,9.103451729,82.8,16.4,8.3,1,19,05,2020
271,-38.098957,144.32289,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,68.19672394,82.8,16.4,8.3,1,24,05,2020
272,-38.11491,144.322409,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,69.63854218,82.8,16.4,8.3,1,26,05,2020
273,-38.18175,144.433712,Low voltage AC (<1kV),1.0,0.1,0.1,6,6,0,7.138845921,30.8,14.9,7.6,1,24,06,2020
280,-38.184605,144.36657,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,8.561350822,104.6,16.7,12.6,1,23,09,2016
281,-38.262839,144.39713,22kV AC,4.6,1.0,4.6,6,6,0,11.53539276,36.4,20.8,19.5,1,21,11,2016
282,-38.15096,144.36597,Low voltage AC (<1kV),0.2,1.0,0.2,6,6,0,22.46770859,36.4,20.8,19.5,1,21,11,2016
283,-38.132047,144.26651,22kV AC,4.6,1.0,4.6,6,6,0,32.37435532,36.4,20.8,19.5,1,21,11,2016
284,-38.165895,144.31355,Low voltage AC (<1kV),0.2,1.0,0.2,6,6,0,64.12576294,47.7,25.5,24,1,25,12,2016
285,-38.251225,144.24818,Low voltage AC (<1kV),4.6,0.5,2.3,6,6,0,46.58180618,33.2,26.5,23.4,1,19,01,2017
286,-38.25939097,144.5348672,22kV AC,0.2,0.1,0.02,6,6,0,37.13196945,52.8,15,7.7,1,19,07,2019
287,-38.266671,144.660387,22kV AC,0.2,0.2,0.04,6,6,0,11.67236423,75.8,24.4,17.9,1,21,02,2020
288,-38.257927,144.521429,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,24.30137444,82.8,16.4,8.3,1,26,05,2020
289,-38.277435,144.489848,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,2.401895046,30.8,14.9,7.6,1,12,06,2020
290,-38.253993,144.559182,22kV AC,0.2,0.1,0.02,6,6,0,30.05672073,30.8,14.9,7.6,1,5,06,2020
293,-38.147464,144.60444,Low voltage AC (<1kV),1.0,0.5,0.5,6,6,0,93.68287659,33.2,26.5,23.4,1,23,01,2017
294,-38.181143,144.51353,66kV AC,1.0,0.5,0.5,6,6,0,43.19014359,142.7,20.8,10.8,1,5,04,2017
296,-38.21487456,145.1163628,22kV AC,1.0,0.1,0.1,6,6,0,55.42489243,64.3,14.5,10,1,9,08,2019
297,-38.14020799,145.1271099,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,7.097137928,64.3,14.5,10,1,25,08,2019
298,-38.27576359,145.0133682,22kV AC,0.2,0.2,0.04,6,6,0,54.53133774,4.4,24.6,24.7,1,4,12,2019
299,-38.15949108,145.1091449,Low voltage AC (<1kV),0.2,2.0,0.4,6,6,0,34.50800705,4.4,24.6,24.7,1,20,12,2019
300,-38.18638134,145.0900761,Low voltage AC (<1kV),0.2,2.0,0.4,6,6,0,77.00954437,4.4,24.6,24.7,1,20,12,2019
301,-38.13732767,145.1239161,Low voltage AC (<1kV),0.2,0.5,0.1,6,6,0,7.575683594,4.4,24.6,24.7,1,21,12,2019
302,-38.2081109,145.1010151,22kV AC,0.2,0.5,0.1,6,6,0,96.61819458,129.4,26.9,21.8,1,15,01,2020
303,-38.19949679,145.1041934,22kV AC,0.2,0.2,0.04,6,6,0,128.975174,129.4,26.9,21.8,1,20,01,2020
304,-38.21143965,145.0505739,Low voltage AC (<1kV),0.2,0.5,0.1,6,6,0,40.48684311,145.6,19.3,9.8,1,15,04,2020
305,-38.15199951,145.1333286,66kV AC,0.2,0.2,0.04,6,6,0,30.0166111,145.6,19.3,9.8,1,17,04,2020
306,-38.2002107,145.1162234,22kV AC,1.0,0.2,0.2,6,6,0,146.0865021,145.6,19.3,9.8,1,22,04,2020
307,-38.12605489,145.1300482,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,3.0,49.4,15.1,10.1,1,18,08,2018
308,-38.13951093,145.1205585,Low voltage AC (<1kV),0.2,0.2,0.04,6,6,0,5.100504875,69.6,22,19.8,1,21,11,2018
309,-38.27549439,145.0243363,22kV AC,0.2,0.2,0.04,6,6,0,79.01327515,117.3,25.7,22.1,1,14,12,2018
310,-38.1356372,145.1291189,Low voltage AC (<1kV),0.2,1.0,0.2,6,6,0,4.000000954,12.6,28.4,25.6,1,24,01,2019
311,-38.14959861,145.1151678,Low voltage AC (<1kV),0.2,0.5,0.1,6,6,0,4.035638332,20.3,26,21.4,1,15,02,2019
312,-38.25340555,145.0308708,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,32.1753006,35.6,14.5,7.9,1,5,07,2017
313,-38.17652512,145.0808144,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,25.94041824,35.6,14.5,7.9,1,6,07,2017
314,-38.17086225,145.1058408,22kV AC,0.2,0.1,0.02,6,6,0,77.76357269,43.4,20.7,18.3,1,6,10,2017
315,-38.18298406,145.0757396,Low voltage AC (<1kV),0.2,0.2,0.04,6,6,0,24.95092773,119.2,25,22.4,1,17,12,2017
316,-38.24172083,145.0472616,Low voltage AC (<1kV),0.2,1.0,0.2,6,6,0,46.00515747,73.6,27.2,23.9,1,18,01,2018
317,-38.15925832,145.1092399,Low voltage AC (<1kV),0.2,1.0,0.2,6,6,0,33.07652664,73.6,27.2,23.9,1,28,01,2018
318,-38.25013008,145.0818425,Low voltage AC (<1kV),1.0,1.0,1.0,6,6,0,52.91733932,24.6,24.9,16.6,1,10,03,2018
319,-38.10340437,145.128545,22kV AC,0.2,1.0,0.2,6,6,0,5.0,24.6,24.9,16.6,1,19,03,2018
320,-38.27465066,145.0290848,22kV AC,0.2,1.0,0.2,6,6,0,38.64115143,24.6,24.9,16.6,1,21,03,2018
321,-38.22045746,145.0408277,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,18.43121338,47.2,14.3,7.2,1,12,06,2018
322,-38.13611637,145.1289163,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,4.237055779,47.2,14.3,7.2,1,25,06,2018
323,-38.25362426,145.057301,22kV AC,0.2,0.1,0.02,6,6,0,34.0,47.2,14.3,7.2,1,26,06,2018
324,-38.1456011,145.1207365,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,10.9348278,69.4,15.9,10.1,1,25,08,2016
325,-38.14638453,145.1291652,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,13.45845127,70.2,19.3,17.5,1,1,10,2016
326,-38.21600717,145.1240032,22kV AC,1.0,0.1,0.1,6,6,0,54.89745331,70.2,19.3,17.5,1,15,10,2016
327,-38.13324092,145.1277404,22kV AC,0.2,0.2,0.04,6,6,0,2.472677231,36.4,20.8,19.5,1,6,11,2016
328,-38.24072113,145.0298121,22kV AC,0.2,0.5,0.1,6,6,0,23.39585876,36.4,20.8,19.5,1,7,11,2016
329,-38.12959013,145.129934,Low voltage AC (<1kV),0.2,0.2,0.04,6,6,0,2.472677231,36.4,20.8,19.5,1,22,11,2016
330,-38.10339542,145.127983,Low voltage AC (<1kV),0.2,0.2,0.04,6,6,0,3.98848629,47.7,25.5,24,1,2,12,2016
331,-38.21468573,145.1130176,22kV AC,1.0,1.0,1.0,6,6,0,57.99993896,33.2,26.5,23.4,1,29,01,2017
332,-38.13215425,145.124585,22kV AC,0.2,0.2,0.04,6,6,0,5.906672478,47,25.9,20.5,1,13,02,2017
333,-38.11880199,145.1403546,Low voltage AC (<1kV),0.2,0.5,0.1,6,6,0,4.03102684,29.2,26.9,16.8,1,3,03,2017
334,-38.21878286,145.1723828,22kV AC,0.2,0.1,0.02,6,6,0,62.96238708,52.8,15,7.7,1,1,07,2019
335,-38.27485641,145.1596546,22kV AC,1.0,0.1,0.1,6,6,0,59.41036606,64.3,14.5,10,1,8,08,2019
336,-38.15891833,145.1541341,Low voltage AC (<1kV),0.2,0.5,0.1,6,6,0,59.94380951,4.4,24.6,24.7,1,17,12,2019
337,-38.12025126,145.1485218,22kV AC,0.2,0.2,0.04,6,6,0,11.9642849,129.4,26.9,21.8,1,5,01,2020
338,-38.11963152,145.1540915,22kV AC,0.2,1.0,0.2,6,6,0,13.74333954,129.4,26.9,21.8,1,10,01,2020
339,-38.17299156,145.1871576,22kV AC,1.0,0.1,0.1,6,6,0,86.70736694,30.8,14.9,7.6,1,15,06,2020
340,-38.20025004,145.2428202,22kV AC,1.0,0.1,0.1,6,6,0,13.98500061,30.8,14.9,7.6,1,17,06,2020
341,-38.25880952,145.1818063,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,22.37207985,30.8,14.9,7.6,1,22,06,2020
342,-38.17602927,145.1901885,Low voltage AC (<1kV),1.0,0.1,0.1,6,6,0,78.52262115,30.8,14.9,7.6,1,27,06,2020
343,-38.25706508,145.1895977,22kV AC,0.2,0.2,0.04,6,6,0,25.93245888,117.3,25.7,22.1,1,22,12,2018
344,-38.1775636,145.165619,66kV AC,1.0,0.5,0.5,6,6,0,80.71553802,20.3,26,21.4,1,1,02,2019
345,-38.10607492,145.1722396,Low voltage AC (<1kV),0.2,1.0,0.2,6,6,0,17.97267151,20.3,26,21.4,1,25,02,2019
346,-38.23207747,145.1910593,22kV AC,0.2,1.0,0.2,6,6,0,35.00012589,14.6,24.8,15.9,1,1,03,2019
347,-38.18609742,145.1733288,Low voltage AC (<1kV),1.0,2.0,2.0,6,6,0,91.0001297,14.6,24.8,15.9,1,3,03,2019
348,-38.21888366,145.2414561,22kV AC,1.0,0.2,0.2,6,6,0,7.000207424,11.6,22,11.1,1,4,04,2019
349,-38.11779501,145.267383,22kV AC,0.2,0.2,0.04,6,6,0,66.3791275,12.6,28.4,25.6,1,9,01,2019
350,-38.22032602,145.31577,22kV AC,1.0,0.2,0.2,6,6,0,7.595991135,11.6,22,11.1,1,24,04,2019
351,-38.22376051,145.2495791,22kV AC,1.0,0.1,0.1,6,6,0,2.318221807,43.4,20.7,18.3,1,5,10,2017
352,-38.1319129,145.2221538,Low voltage AC (<1kV),1.0,0.5,0.5,6,6,0,59.00915146,1.2,27,20.8,1,22,02,2018
353,-38.2275209,145.1594615,22kV AC,0.2,2.0,0.4,6,6,0,81.00058746,24.6,24.9,16.6,1,17,03,2018
354,-38.22775809,145.1915435,22kV AC,0.2,2.0,0.4,6,6,0,32.99983978,24.6,24.9,16.6,1,18,03,2018
355,-38.10737339,145.1530874,22kV AC,0.2,0.5,0.1,6,6,0,10.04726219,24.6,24.9,16.6,1,24,03,2018
356,-38.19215313,145.2068162,Low voltage AC (<1kV),1.0,1.0,1.0,1,2,1,67.66444397,19,21.8,10.9,1,12,04,2018
357,-38.25666394,145.1895883,22kV AC,0.2,0.1,0.02,6,6,0,26.18620872,47.2,14.3,7.2,1,8,06,2018
358,-38.19275602,145.345799,22kV AC,1.0,1.0,1.0,6,6,0,4.873086929,24.6,24.9,16.6,1,21,03,2018
359,-38.22398701,145.313453,Low voltage AC (<1kV),1.0,0.1,0.1,1,2,1,2.999432087,47.2,14.3,7.2,1,19,06,2018
360,-38.17057505,145.2038319,Low voltage AC (<1kV),1.0,0.1,0.1,6,6,0,86.04044342,104.6,16.7,12.6,1,4,09,2016
361,-38.13464211,145.2284341,22kV AC,1.0,0.1,0.1,6,6,0,58.96764374,70.2,19.3,17.5,1,10,10,2016
362,-38.2225019,145.2449385,22kV AC,1.0,0.2,0.2,6,6,0,5.89029789,47.7,25.5,24,1,3,12,2016
363,-38.14706201,145.1443146,Low voltage AC (<1kV),0.2,0.5,0.1,6,6,0,29.9998703,33.2,26.5,23.4,1,23,01,2017
364,-38.1609109,145.2099988,Low voltage AC (<1kV),1.0,0.2,0.2,6,6,0,99.56848907,142.7,20.8,10.8,1,3,04,2017
365,-38.1057932,145.1874009,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,27.37915421,21.4,14.9,7.2,1,30,06,2017
366,-38.21431702,145.318886,22kV AC,1.0,0.2,0.2,6,6,0,3.66689992,47,25.9,20.5,1,13,02,2017
367,-38.14667201,145.458489,22kV AC,1.0,1.0,1.0,6,6,0,6.020102978,78.2,22.9,14.4,1,13,03,2020
368,-38.27500402,145.572907,22kV AC,4.6,0.5,2.3,1,2,1,13.95594978,12.6,28.4,25.6,1,31,01,2019
369,-38.10992902,145.486285,22kV AC,1.0,0.2,0.2,6,6,0,9.599747658,20.3,26,21.4,1,7,02,2019
370,-38.204393,145.563574,22kV AC,4.6,0.5,2.3,6,6,0,13.00252438,14.6,24.8,15.9,1,6,03,2019
371,-38.226409,145.541188,22kV AC,4.6,0.5,2.3,6,6,0,6.0,14.6,24.8,15.9,1,7,03,2019
372,-38.27664501,145.569487,22kV AC,4.6,0.2,0.92,6,6,0,14.43743706,11.6,22,11.1,1,18,04,2019
373,-38.15196596,145.574133,Low voltage AC (<1kV),1.0,0.2,0.2,6,6,0,11.98345184,46.2,25.9,22.8,1,16,11,2017
374,-38.22119371,145.5921678,22kV AC,4.6,1.0,4.6,6,6,0,13.9859581,1.2,27,20.8,1,14,02,2018
375,-38.24628598,145.566745,Low voltage AC (<1kV),4.6,0.1,0.46,6,6,0,10.99983501,104.6,16.7,12.6,1,2,09,2016
376,-38.09447,145.72669,22kV AC,1.0,0.2,0.2,6,6,0,74.99910736,117.3,25.7,22.1,1,14,12,2018
377,-38.18559141,145.6622649,22kV AC,4.6,0.5,2.3,6,6,0,21.19996262,12.6,28.4,25.6,1,12,01,2019
378,-38.172697,145.780522,22kV AC,1.0,0.5,0.5,6,6,0,83.95908356,12.6,28.4,25.6,1,31,01,2019
379,-38.13318602,145.736074,Low voltage AC (<1kV),1.0,0.2,0.2,6,6,0,32.80000305,119.2,25,22.4,1,2,12,2017
380,-38.100634,145.744706,22kV AC,1.0,0.2,0.2,6,6,0,38.45530701,73.6,27.2,23.9,1,4,01,2018
381,-38.16089801,145.613903,22kV AC,1.0,0.2,0.2,6,6,0,15.50423813,73.6,27.2,23.9,1,4,01,2018
382,-38.25158399,145.657987,22kV AC,4.6,0.2,0.92,6,6,0,33.08441544,24.6,24.9,16.6,1,2,03,2018
383,-38.25158399,145.657987,22kV AC,4.6,0.5,2.3,6,6,0,33.08441544,24.6,24.9,16.6,1,28,03,2018
384,-38.21155502,145.753448,22kV AC,1.0,0.1,0.1,6,6,0,97.64248657,69.4,15.9,10.1,1,11,08,2016
385,-38.10047098,145.742386,22kV AC,1.0,0.5,0.5,6,6,0,38.23069,36.4,20.8,19.5,1,7,11,2016
386,-38.18346298,145.780724,Low voltage AC (<1kV),1.0,0.2,0.2,6,6,0,133.0616608,47.7,25.5,24,1,17,12,2016
387,-38.128072,145.754437,22kV AC,1.0,0.1,0.1,6,6,0,35.89867401,29.6,17.2,8.3,1,24,05,2017
388,-38.13596999,146.053594,22kV AC,1.0,0.2,0.2,6,6,0,132.687439,75.8,24.4,17.9,1,16,02,2020
389,-38.12412713,145.8454199,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,134.0198212,49.4,15.1,10.1,1,2,08,2018
390,-38.107769,145.850184,22kV AC,1.0,0.2,0.2,6,6,0,100.5473328,117.3,25.7,22.1,1,9,12,2018
391,-38.164617,145.907319,22kV AC,0.2,0.5,0.1,6,6,0,132.9438324,117.3,25.7,22.1,1,29,12,2018
392,-38.10023199,146.032458,22kV AC,1.0,0.1,0.1,6,6,0,183.3489075,46.7,17.8,12.6,1,7,09,2017
393,-38.24132198,145.875583,22kV AC,1.0,1.0,1.0,6,6,0,121.9151459,1.2,27,20.8,1,14,02,2018
394,-38.24147399,145.885897,22kV AC,1.0,1.0,1.0,6,6,0,122.9882889,1.2,27,20.8,1,28,02,2018
395,-38.21957499,145.977883,22kV AC,1.0,1.0,1.0,6,6,0,100.1012726,24.6,24.9,16.6,1,18,03,2018
396,-38.21643101,146.257607,22kV AC,4.6,0.5,2.3,2,2,1,295.5033875,60.8,21.8,20.4,1,25,11,2019
397,-38.21623998,146.058257,22kV AC,4.6,0.2,0.92,6,6,0,90.14996338,129.4,26.9,21.8,1,7,01,2020
398,-38.18456502,146.13013,22kV AC,4.6,0.5,2.3,6,6,0,65.28276825,129.4,26.9,21.8,1,22,01,2020
399,-38.174775,146.133718,22kV AC,4.6,0.2,0.92,6,6,0,71.84706879,129.4,26.9,21.8,1,24,01,2020
400,-38.17973598,146.152326,22kV AC,4.6,0.5,2.3,6,6,0,61.32649231,75.8,24.4,17.9,1,25,02,2020
401,-38.17858501,146.27612,22kV AC,0.2,2.0,0.4,6,6,0,67.00139618,12.6,28.4,25.6,1,25,01,2019
402,-38.21097101,146.278029,66kV AC,4.6,1.0,4.6,1,2,1,86.26306915,20.3,26,21.4,1,25,02,2019
403,-38.202379,146.067823,22kV AC,4.6,0.5,2.3,6,6,0,82.95936584,20.3,26,21.4,1,27,02,2019
404,-38.22419198,146.061368,22kV AC,4.6,0.2,0.92,6,6,0,143.7908936,73.6,27.2,23.9,1,31,01,2018
405,-38.158266,146.235745,22kV AC,4.6,0.2,0.92,6,6,0,78.99491882,24.6,24.9,16.6,1,2,03,2018
406,-38.12013999,146.269409,Low voltage AC (<1kV),4.6,0.5,2.3,6,6,0,58.38484192,29.2,26.9,16.8,1,13,03,2017
407,-38.17348173,146.2871063,22kV AC,0.2,1.0,0.2,6,6,0,78.84010315,60.8,21.8,20.4,1,21,11,2019
408,-38.128674,146.485899,22kV AC,1.0,0.2,0.2,6,6,0,210.5819397,60.8,21.8,20.4,1,22,11,2019
409,-38.270772,146.43342,22kV AC,1.0,0.5,0.5,6,6,0,88.43231201,4.4,24.6,24.7,1,27,12,2019
410,-38.25434801,146.423493,22kV AC,1.0,0.5,0.5,6,6,0,71.82776642,4.4,24.6,24.7,1,27,12,2019
411,-38.25379054,146.4744945,22kV AC,1.0,0.1,0.1,6,6,0,93.95775604,22,14.8,8,1,12,07,2018
412,-38.23618599,146.39552,22kV AC,0.2,0.5,0.1,6,6,0,81.55852509,14.6,24.8,15.9,1,6,03,2019
413,-38.15684401,146.384906,22kV AC,4.6,0.2,0.92,2,2,1,101.9906235,11.6,22,11.1,1,20,04,2019
414,-38.19663702,146.325349,Low voltage AC (<1kV),4.6,0.5,2.3,2,2,1,96.90216064,119.2,25,22.4,1,13,12,2017
415,-38.20017799,146.316759,Low voltage AC (<1kV),4.6,0.5,2.3,6,6,0,140.0003052,119.2,25,22.4,1,18,12,2017
416,-38.23390102,146.292584,Low voltage AC (<1kV),4.6,0.2,0.92,6,6,0,307.5413818,73.6,27.2,23.9,1,23,01,2018
417,-38.25566502,146.489795,22kV AC,1.0,1.0,1.0,6,6,0,96.75662994,1.2,27,20.8,1,14,02,2018
418,-38.13822501,146.294843,22kV AC,4.6,1.0,4.6,2,2,1,149.1930542,1.2,27,20.8,1,28,02,2018
419,-38.20993036,146.3250955,66kV AC,1.0,0.5,0.5,4,4,1,99.23059082,24.6,24.9,16.6,1,19,03,2018
420,-38.248958,146.497107,22kV AC,1.0,0.5,0.5,6,6,0,90.00016785,47,25.9,20.5,1,5,02,2017
421,-38.18897701,146.561027,22kV AC,0.2,0.5,0.1,6,6,0,53.44918442,4.4,24.6,24.7,1,25,12,2019
422,-38.19936301,146.525548,Low voltage AC (<1kV),0.2,0.1,0.02,6,6,0,65.26920319,49.4,15.1,10.1,1,30,08,2018
423,-38.19731899,146.525258,Low voltage AC (<1kV),0.2,0.2,0.04,6,6,0,63.18370056,69.6,22,19.8,1,16,11,2018
424,-38.19449798,146.544842,22kV AC,0.2,0.5,0.1,6,6,0,38.02057648,117.3,25.7,22.1,1,29,12,2018
425,-38.18946698,146.555706,22kV AC,0.2,1.0,0.2,6,6,0,38.99628067,14.6,24.8,15.9,1,29,03,2019
426,-38.09605401,146.549085,22kV AC,1.0,0.1,0.1,2,2,1,142.7773895,35.6,14.5,7.9,1,1,07,2017
427,-38.13552302,146.557661,22kV AC,1.0,0.5,0.5,6,6,0,39.12064743,119.2,25,22.4,1,27,12,2017
428,-38.180448,146.561885,22kV AC,1.0,0.1,0.1,6,6,0,41.98813248,68.6,14.6,7.2,1,16,07,2016
429,-38.18440033,146.561926,66kV AC,0.2,0.1,0.02,6,6,0,47.48377228,69.4,15.9,10.1,1,29,08,2016
430,-38.13797402,146.793418,22kV AC,1.0,1.0,1.0,6,6,0,41.15493774,60.8,21.8,20.4,1,21,11,2019
431,-38.24199999,146.792034,22kV AC,1.0,0.2,0.2,6,6,0,109.0109558,75.8,24.4,17.9,1,26,02,2020
